Topic_Num,Coherence_Score
1,0.38390938958474374
2,0.48906533137863006
3,0.42782226141176455
4,0.4645842489221456
5,0.4280899692403281
6,0.46694989943252657
7,0.47337538424028713
8,0.48064955531361203
9,0.4508648744250464
10,0.461680325663247
11,0.4882690969110879
12,0.5066756114621657
13,0.5105678260548512
14,0.4979617768793966
15,0.4675019664959907
16,0.5224082627546882
17,0.5093996900461564
18,0.5179485973941174
19,0.5165894074309135
20,0.4941508358706872
21,0.4731866139115644
22,0.5053934666649565
23,0.4938127225734175
24,0.512674389974019
25,0.4827952829682202
26,0.49234561600080534
27,0.4884023928150607
28,0.48305795371333893
29,0.5038729147148978
30,0.4989994968672127
31,0.5067284597409762
32,0.4787114243773447
33,0.4844722036543609
34,0.4893690102056664
35,0.48235768808388396
36,0.4910685491178532
37,0.4665770856849994
38,0.46879917416264866
39,0.45167053483436204
40,0.48834090395110447
